in,per_rank,accesses,reads,writes
221600,1,11825,11691,134
234983,1,10841,10738,103
218201,1,8918,8918,0
50039,1,6502,6502,0
221111,1,5676,5676,0
215255,1,5592,1108,4484
73356,1,5272,5272,0
218202,1,5117,5117,0
220419,1,5090,5090,0
73357,1,4935,4935,0
235144,1,4151,4109,42
221599,1,3983,3983,0
200274,1,3669,3669,0
200258,1,3530,3530,0
200259,1,3529,3529,0
200260,1,3529,3529,0
200262,1,3527,3527,0
200263,1,3527,3527,0
200265,1,3527,3527,0
200267,1,3527,3527,0
200261,1,3526,3526,0
200266,1,3526,3526,0
200268,1,3526,3526,0
200271,1,3526,3526,0
200264,1,3525,3525,0
200269,1,3524,3524,0
200270,1,3524,3524,0
200257,1,3524,3524,0
200272,1,3523,3523,0
49983,1,3251,3251,0
49984,1,3251,3251,0
49985,1,3251,3251,0
49986,1,3251,3251,0
200273,1,2857,2857,0
221124,1,2839,2839,0
220551,1,2504,2504,0
205513,1,2320,2320,0
220550,1,2250,2250,0
221627,1,2160,2005,155
73351,1,2072,2072,0
218282,1,1937,1937,0
51204,1,1926,1926,0
220684,1,1918,1918,0
220668,1,1892,1892,0
49802,1,1888,1888,0
220460,1,1885,1885,0
49803,1,1844,1844,0
49780,1,1812,1812,0
49781,1,1812,1812,0
153284,1,1766,812,954
215773,1,1720,1720,0
215747,1,1720,1720,0
218203,1,1635,1635,0
221629,1,1585,1356,229
73337,1,1584,1584,0
152259,1,1430,578,852
51203,1,1284,1284,0
221612,1,1032,777,255
221631,1,1016,777,239
215895,1,1007,1007,0
215894,1,916,916,0
215856,1,916,916,0
215855,1,916,916,0
218211,1,890,890,0
221613,1,841,667,174
221620,1,834,661,173
73287,1,792,792,0
73320,1,792,792,0
73321,1,792,792,0
73323,1,792,792,0
73347,1,792,792,0
73348,1,792,792,0
73355,1,792,792,0
221630,1,750,595,155
221621,1,747,580,167
221610,1,735,565,170
153785,1,708,18,690
221617,1,688,544,144
132325,1,662,662,0
218277,1,660,660,0
221633,1,659,518,141
221611,1,656,528,128
209691,1,650,650,0
75532,1,639,639,0
75536,1,639,639,0
75533,1,639,639,0
75529,1,637,637,0
133949,1,637,637,0
126581,1,637,637,0
51644,1,636,636,0
51913,1,636,636,0
52962,1,635,635,0
73358,1,635,635,0
218274,1,632,632,0
221636,1,621,493,128
221625,1,619,495,124
221608,1,615,471,144
200246,1,612,612,0
124034,1,612,612,0
158103,1,611,611,0
153644,2,576,0,576
209692,2,562,562,0
32721,2,560,192,368
203405,2,556,556,0
74353,2,555,555,0
221635,2,552,430,122
221624,2,544,443,101
221639,2,537,401,136
213342,2,532,532,0
248184,2,518,518,0
234982,2,515,403,112
221638,2,514,421,93
213347,2,513,513,0
196888,2,509,509,0
221623,2,505,413,92
221628,2,503,402,101
209688,2,496,496,0
215267,2,495,143,352
85836,2,490,490,0
215329,2,488,280,208
212206,2,488,488,0
221614,2,488,387,101
221626,2,486,378,108
221607,2,481,368,113
221622,2,477,389,88
221634,2,474,369,105
221641,2,469,348,121
215303,2,455,251,204
221605,2,441,336,105
221606,2,438,357,81
221619,2,434,339,95
235145,2,433,336,97
249749,2,432,432,0
221616,2,423,343,80
215283,2,422,245,177
216747,2,421,421,0
215272,2,417,158,259
157175,2,415,415,0
221604,2,381,308,73
302704,2,369,369,0
200202,2,360,360,0
39108,2,356,356,0
157747,2,355,355,0
155467,2,354,354,0
247953,2,351,193,158
235147,2,347,266,81
74350,2,346,346,0
199860,2,346,346,0
221640,2,344,279,65
221637,2,344,278,66
215262,2,335,128,207
199856,2,335,335,0
126731,2,334,334,0
221618,2,333,276,57
221603,2,326,260,66
221632,2,324,262,62
74352,2,323,323,0
221615,2,323,266,57
209690,2,321,321,0
219802,2,320,320,0
205245,2,320,320,0
215324,2,316,196,120
200207,2,311,311,0
247955,2,307,195,112
200245,2,306,306,0
200205,2,306,306,0
200206,2,306,306,0
221602,2,306,244,62
248293,2,306,306,0
131945,2,303,114,189
215312,2,301,213,88
215270,2,300,176,124
33990,2,300,111,189
74345,2,297,297,0
247943,2,291,216,75
215291,2,290,154,136
249772,2,289,187,102
112388,2,288,288,0
112423,2,288,288,0
112401,2,288,288,0
217537,2,288,288,0
152257,2,288,153,135
49075,2,285,285,0
126729,2,283,283,0
45747,2,280,280,0
213407,2,279,279,0
203942,2,278,278,0
213385,2,277,277,0
213386,2,277,277,0
213384,2,277,277,0
235861,2,277,277,0
126727,2,272,272,0
126734,2,270,270,0
247939,2,267,134,133
246376,2,266,266,0
246792,2,266,266,0
215308,2,264,158,106
153673,2,263,115,148
247169,2,262,262,0
215282,2,262,70,192
247330,3,260,260,0
246317,3,260,260,0
218210,3,259,259,0
215273,3,257,94,163
152294,3,255,15,240
197769,3,253,253,0
197770,3,253,253,0
247954,3,252,127,125
197783,3,252,252,0
197771,3,251,251,0
197772,3,251,251,0
197773,3,251,251,0
197774,3,251,251,0
197775,3,251,251,0
197776,3,251,251,0
197782,3,251,251,0
197779,3,250,250,0
197777,3,250,250,0
197778,3,250,250,0
215292,3,249,124,125
197780,3,249,249,0
197781,3,249,249,0
215279,3,248,109,139
197768,3,248,248,0
297088,3,247,247,0
212192,3,246,244,2
157746,3,245,245,0
212196,3,244,244,0
212197,3,244,244,0
212198,3,244,244,0
212199,3,244,244,0
212200,3,244,244,0
212201,3,244,244,0
212202,3,244,244,0
212203,3,244,244,0
212204,3,244,244,0
212205,3,244,244,0
212193,3,244,244,0
212194,3,244,244,0
234981,3,242,198,44
40095,3,240,240,0
215285,3,237,170,67
263473,3,233,233,0
198911,3,230,230,0
39095,3,230,230,0
215305,3,230,124,106
197803,3,230,230,0
197815,3,229,229,0
73969,3,229,229,0
249778,3,228,82,146
40096,3,226,226,0
197788,3,226,226,0
197789,3,226,226,0
197790,3,226,226,0
197791,3,226,226,0
197792,3,226,226,0
197793,3,226,226,0
197795,3,226,226,0
197796,3,226,226,0
197797,3,226,226,0
40165,3,226,226,0
197787,3,224,224,0
197798,3,224,224,0
197799,3,224,224,0
197800,3,224,224,0
197801,3,224,224,0
197802,3,224,224,0
215289,3,223,129,94
197813,3,223,223,0
197784,3,223,223,0
215271,3,223,66,157
197794,3,222,222,0
227299,3,221,221,0
227300,3,221,221,0
249776,3,220,124,96
210510,3,220,220,0
210696,3,220,220,0
210751,3,220,220,0
197808,3,218,218,0
197809,3,218,218,0
197810,3,218,218,0
247867,3,217,217,0
197811,3,216,216,0
197812,3,216,216,0
300917,3,215,215,0
215265,3,214,147,67
218226,3,213,213,0
203971,3,210,210,0
247136,3,208,208,0
214458,3,205,202,3
261452,3,204,204,0
201658,3,202,202,0
214450,3,202,202,0
152803,3,201,43,158
247947,3,200,110,90
217315,3,200,200,0
217326,3,200,200,0
155865,3,200,200,0
215326,3,199,100,99
2,3,199,199,0
74354,4,198,198,0
215321,4,197,118,79
221601,4,196,167,29
297089,4,195,195,0
218276,4,194,194,0
197805,4,194,194,0
197804,4,192,192,0
197806,4,192,192,0
205536,4,191,191,0
247933,4,191,145,46
197807,4,189,189,0
152304,4,189,39,150
209686,4,188,188,0
40099,4,186,186,0
197814,4,184,184,0
73973,4,184,184,0
220526,4,183,145,38
253351,4,182,182,0
200189,4,181,181,0
296987,4,181,181,0
39109,4,180,180,0
221609,4,180,145,35
73968,4,180,180,0
200200,4,179,179,0
200201,4,179,179,0
200199,4,179,179,0
215259,4,176,116,60
74779,4,176,176,0
218916,4,176,176,0
153661,4,172,15,157
249773,4,171,100,71
215258,4,171,47,124
201613,4,170,170,0
249775,4,170,60,110
199857,4,169,169,0
199858,4,169,169,0
199859,4,169,169,0
249771,4,168,133,35
210320,4,168,168,0
87221,4,168,168,0
210305,4,167,167,0
247950,4,166,125,41
210308,4,166,166,0
215295,4,165,102,63
213918,4,163,163,0
209392,4,162,158,4
218219,4,162,162,0
215280,4,161,119,42
242457,4,161,161,0
205515,4,160,160,0
205535,4,160,160,0
246895,4,158,158,0
155471,4,156,156,0
246934,4,156,156,0
153675,4,156,16,140
215311,4,155,73,82
152750,4,154,17,137
77289,4,154,154,0
215307,4,152,52,100
215302,4,151,123,28
3,4,150,150,0
201622,4,150,150,0
220586,4,150,130,20
203506,4,149,149,0
203507,4,149,149,0
203508,4,149,149,0
203509,4,149,149,0
203510,4,149,149,0
203511,4,149,149,0
203512,4,149,149,0
203513,4,149,149,0
203514,4,149,149,0
