in,rank,accesses,reads,writes
221600,0,11825,11691,134
234983,1,10841,10738,103
218201,2,8918,8918,0
50039,3,6502,6502,0
221111,4,5676,5676,0
215255,5,5592,1108,4484
73356,6,5272,5272,0
218202,7,5117,5117,0
220419,8,5090,5090,0
73357,9,4935,4935,0
235144,10,4151,4109,42
221599,11,3983,3983,0
200274,12,3669,3669,0
200258,13,3530,3530,0
200259,14,3529,3529,0
200260,15,3529,3529,0
200262,16,3527,3527,0
200263,17,3527,3527,0
200265,18,3527,3527,0
200267,19,3527,3527,0
200261,20,3526,3526,0
200266,21,3526,3526,0
200268,22,3526,3526,0
200271,23,3526,3526,0
200264,24,3525,3525,0
200269,25,3524,3524,0
200270,26,3524,3524,0
200257,27,3524,3524,0
200272,28,3523,3523,0
49983,29,3251,3251,0
49984,30,3251,3251,0
49985,31,3251,3251,0
49986,32,3251,3251,0
200273,33,2857,2857,0
221124,34,2839,2839,0
220551,35,2504,2504,0
205513,36,2320,2320,0
220550,37,2250,2250,0
221627,38,2160,2005,155
73351,39,2072,2072,0
218282,40,1937,1937,0
51204,41,1926,1926,0
220684,42,1918,1918,0
220668,43,1892,1892,0
49802,44,1888,1888,0
220460,45,1885,1885,0
49803,46,1844,1844,0
49780,47,1812,1812,0
49781,48,1812,1812,0
153284,49,1766,812,954
215773,50,1720,1720,0
215747,51,1720,1720,0
218203,52,1635,1635,0
221629,53,1585,1356,229
73337,54,1584,1584,0
152259,55,1430,578,852
51203,56,1284,1284,0
221612,57,1032,777,255
221631,58,1016,777,239
215895,59,1007,1007,0
215894,60,916,916,0
215856,61,916,916,0
215855,62,916,916,0
218211,63,890,890,0
221613,64,841,667,174
221620,65,834,661,173
73287,66,792,792,0
73320,67,792,792,0
73321,68,792,792,0
73323,69,792,792,0
73347,70,792,792,0
73348,71,792,792,0
73355,72,792,792,0
221630,73,750,595,155
221621,74,747,580,167
221610,75,735,565,170
153785,76,708,18,690
221617,77,688,544,144
132325,78,662,662,0
218277,79,660,660,0
221633,80,659,518,141
221611,81,656,528,128
209691,82,650,650,0
75532,83,639,639,0
75536,84,639,639,0
75533,85,639,639,0
75529,86,637,637,0
133949,87,637,637,0
126581,88,637,637,0
51644,89,636,636,0
51913,90,636,636,0
52962,91,635,635,0
73358,92,635,635,0
218274,93,632,632,0
221636,94,621,493,128
221625,95,619,495,124
221608,96,615,471,144
200246,97,612,612,0
124034,98,612,612,0
158103,99,611,611,0
153644,100,576,0,576
209692,101,562,562,0
32721,102,560,192,368
203405,103,556,556,0
74353,104,555,555,0
221635,105,552,430,122
221624,106,544,443,101
221639,107,537,401,136
213342,108,532,532,0
248184,109,518,518,0
234982,110,515,403,112
221638,111,514,421,93
213347,112,513,513,0
196888,113,509,509,0
221623,114,505,413,92
221628,115,503,402,101
209688,116,496,496,0
215267,117,495,143,352
85836,118,490,490,0
215329,119,488,280,208
212206,120,488,488,0
221614,121,488,387,101
221626,122,486,378,108
221607,123,481,368,113
221622,124,477,389,88
221634,125,474,369,105
221641,126,469,348,121
215303,127,455,251,204
221605,128,441,336,105
221606,129,438,357,81
221619,130,434,339,95
235145,131,433,336,97
249749,132,432,432,0
221616,133,423,343,80
215283,134,422,245,177
216747,135,421,421,0
215272,136,417,158,259
157175,137,415,415,0
221604,138,381,308,73
302704,139,369,369,0
200202,140,360,360,0
39108,141,356,356,0
157747,142,355,355,0
155467,143,354,354,0
247953,144,351,193,158
235147,145,347,266,81
74350,146,346,346,0
199860,147,346,346,0
221640,148,344,279,65
221637,149,344,278,66
215262,150,335,128,207
199856,151,335,335,0
126731,152,334,334,0
221618,153,333,276,57
221603,154,326,260,66
221632,155,324,262,62
74352,156,323,323,0
221615,157,323,266,57
209690,158,321,321,0
219802,159,320,320,0
205245,160,320,320,0
215324,161,316,196,120
200207,162,311,311,0
247955,163,307,195,112
200245,164,306,306,0
200205,165,306,306,0
200206,166,306,306,0
221602,167,306,244,62
248293,168,306,306,0
131945,169,303,114,189
215312,170,301,213,88
215270,171,300,176,124
33990,172,300,111,189
74345,173,297,297,0
247943,174,291,216,75
215291,175,290,154,136
249772,176,289,187,102
112388,177,288,288,0
112423,178,288,288,0
112401,179,288,288,0
217537,180,288,288,0
152257,181,288,153,135
49075,182,285,285,0
126729,183,283,283,0
45747,184,280,280,0
213407,185,279,279,0
203942,186,278,278,0
213385,187,277,277,0
213386,188,277,277,0
213384,189,277,277,0
235861,190,277,277,0
126727,191,272,272,0
126734,192,270,270,0
247939,193,267,134,133
246376,194,266,266,0
246792,195,266,266,0
215308,196,264,158,106
153673,197,263,115,148
247169,198,262,262,0
215282,199,262,70,192
247330,200,260,260,0
246317,201,260,260,0
218210,202,259,259,0
215273,203,257,94,163
152294,204,255,15,240
197769,205,253,253,0
197770,206,253,253,0
247954,207,252,127,125
197783,208,252,252,0
197771,209,251,251,0
197772,210,251,251,0
197773,211,251,251,0
197774,212,251,251,0
197775,213,251,251,0
197776,214,251,251,0
197782,215,251,251,0
197779,216,250,250,0
197777,217,250,250,0
197778,218,250,250,0
215292,219,249,124,125
197780,220,249,249,0
197781,221,249,249,0
215279,222,248,109,139
197768,223,248,248,0
297088,224,247,247,0
212192,225,246,244,2
157746,226,245,245,0
212196,227,244,244,0
212197,228,244,244,0
212198,229,244,244,0
212199,230,244,244,0
212200,231,244,244,0
212201,232,244,244,0
212202,233,244,244,0
212203,234,244,244,0
212204,235,244,244,0
212205,236,244,244,0
212193,237,244,244,0
212194,238,244,244,0
234981,239,242,198,44
40095,240,240,240,0
215285,241,237,170,67
263473,242,233,233,0
198911,243,230,230,0
39095,244,230,230,0
215305,245,230,124,106
197803,246,230,230,0
197815,247,229,229,0
73969,248,229,229,0
249778,249,228,82,146
40096,250,226,226,0
197788,251,226,226,0
197789,252,226,226,0
197790,253,226,226,0
197791,254,226,226,0
197792,255,226,226,0
197793,256,226,226,0
197795,257,226,226,0
197796,258,226,226,0
197797,259,226,226,0
40165,260,226,226,0
197787,261,224,224,0
197798,262,224,224,0
197799,263,224,224,0
197800,264,224,224,0
197801,265,224,224,0
197802,266,224,224,0
215289,267,223,129,94
197813,268,223,223,0
197784,269,223,223,0
215271,270,223,66,157
197794,271,222,222,0
227299,272,221,221,0
227300,273,221,221,0
249776,274,220,124,96
210510,275,220,220,0
210696,276,220,220,0
210751,277,220,220,0
197808,278,218,218,0
197809,279,218,218,0
197810,280,218,218,0
247867,281,217,217,0
197811,282,216,216,0
197812,283,216,216,0
300917,284,215,215,0
215265,285,214,147,67
218226,286,213,213,0
203971,287,210,210,0
247136,288,208,208,0
214458,289,205,202,3
261452,290,204,204,0
201658,291,202,202,0
214450,292,202,202,0
152803,293,201,43,158
247947,294,200,110,90
217315,295,200,200,0
217326,296,200,200,0
155865,297,200,200,0
215326,298,199,100,99
2,299,199,199,0
74354,300,198,198,0
215321,301,197,118,79
221601,302,196,167,29
297089,303,195,195,0
218276,304,194,194,0
197805,305,194,194,0
197804,306,192,192,0
197806,307,192,192,0
205536,308,191,191,0
247933,309,191,145,46
197807,310,189,189,0
152304,311,189,39,150
209686,312,188,188,0
40099,313,186,186,0
197814,314,184,184,0
73973,315,184,184,0
220526,316,183,145,38
253351,317,182,182,0
200189,318,181,181,0
296987,319,181,181,0
39109,320,180,180,0
221609,321,180,145,35
73968,322,180,180,0
200200,323,179,179,0
200201,324,179,179,0
200199,325,179,179,0
215259,326,176,116,60
74779,327,176,176,0
218916,328,176,176,0
153661,329,172,15,157
249773,330,171,100,71
215258,331,171,47,124
201613,332,170,170,0
249775,333,170,60,110
199857,334,169,169,0
199858,335,169,169,0
199859,336,169,169,0
249771,337,168,133,35
210320,338,168,168,0
87221,339,168,168,0
210305,340,167,167,0
247950,341,166,125,41
210308,342,166,166,0
215295,343,165,102,63
213918,344,163,163,0
209392,345,162,158,4
218219,346,162,162,0
215280,347,161,119,42
242457,348,161,161,0
205515,349,160,160,0
205535,350,160,160,0
246895,351,158,158,0
155471,352,156,156,0
246934,353,156,156,0
153675,354,156,16,140
215311,355,155,73,82
152750,356,154,17,137
77289,357,154,154,0
215307,358,152,52,100
215302,359,151,123,28
3,360,150,150,0
201622,361,150,150,0
220586,362,150,130,20
203506,363,149,149,0
203507,364,149,149,0
203508,365,149,149,0
203509,366,149,149,0
203510,367,149,149,0
203511,368,149,149,0
203512,369,149,149,0
203513,370,149,149,0
203514,371,149,149,0
203469,372,149,149,0
203470,373,149,149,0
203471,374,149,149,0
203472,375,149,149,0
203473,376,149,149,0
203474,377,149,149,0
203475,378,149,149,0
203476,379,149,149,0
203477,380,149,149,0
203478,381,149,149,0
203479,382,149,149,0
203480,383,149,149,0
203481,384,149,149,0
203482,385,149,149,0
203483,386,149,149,0
203443,387,149,149,0
203444,388,149,149,0
203445,389,149,149,0
203446,390,149,149,0
203447,391,149,149,0
203448,392,149,149,0
203449,393,149,149,0
203450,394,149,149,0
203451,395,149,149,0
203452,396,149,149,0
203453,397,149,149,0
203454,398,149,149,0
203455,399,149,149,0
203456,400,149,149,0
203457,401,149,149,0
203458,402,149,149,0
203459,403,149,149,0
203460,404,149,149,0
203461,405,149,149,0
203462,406,149,149,0
203463,407,149,149,0
203464,408,149,149,0
203465,409,149,149,0
203467,410,149,149,0
203468,411,149,149,0
209693,412,146,146,0
249743,413,146,146,0
215266,414,145,102,43
215319,415,144,124,20
45743,416,144,144,0
45744,417,144,144,0
45745,418,144,144,0
215315,419,144,72,72
215294,420,144,134,10
112483,421,144,144,0
112484,422,144,144,0
112485,423,144,144,0
112486,424,144,144,0
112487,425,144,144,0
112488,426,144,144,0
112489,427,144,144,0
112490,428,144,144,0
112491,429,144,144,0
112492,430,144,144,0
112493,431,144,144,0
112494,432,144,144,0
112495,433,144,144,0
112496,434,144,144,0
112497,435,144,144,0
112498,436,144,144,0
112596,437,144,144,0
49975,438,144,144,0
112424,439,144,144,0
112425,440,144,144,0
112426,441,144,144,0
112427,442,144,144,0
112428,443,144,144,0
112429,444,144,144,0
112430,445,144,144,0
112431,446,144,144,0
112432,447,144,144,0
112433,448,144,144,0
112434,449,144,144,0
112435,450,144,144,0
112436,451,144,144,0
112437,452,144,144,0
112438,453,144,144,0
112394,454,144,144,0
112395,455,144,144,0
112396,456,144,144,0
112397,457,144,144,0
112398,458,144,144,0
112399,459,144,144,0
112389,460,144,144,0
112390,461,144,144,0
112391,462,144,144,0
112392,463,144,144,0
112478,464,144,144,0
112479,465,144,144,0
112480,466,144,144,0
112481,467,144,144,0
112482,468,144,144,0
112445,469,144,144,0
112446,470,144,144,0
112447,471,144,144,0
112448,472,144,144,0
112449,473,144,144,0
112450,474,144,144,0
112451,475,144,144,0
112452,476,144,144,0
112453,477,144,144,0
112454,478,144,144,0
112455,479,144,144,0
112456,480,144,144,0
112457,481,144,144,0
112458,482,144,144,0
112459,483,144,144,0
112460,484,144,144,0
112402,485,144,144,0
112403,486,144,144,0
112404,487,144,144,0
112405,488,144,144,0
112406,489,144,144,0
112407,490,144,144,0
112408,491,144,144,0
112409,492,144,144,0
112410,493,144,144,0
112411,494,144,144,0
112412,495,144,144,0
112413,496,144,144,0
112414,497,144,144,0
112415,498,144,144,0
112416,499,144,144,0
112473,500,144,144,0
112474,501,144,144,0
112475,502,144,144,0
112476,503,144,144,0
112477,504,144,144,0
217574,505,144,144,0
153672,506,144,2,142
112420,507,143,143,0
112421,508,143,143,0
215313,509,143,61,82
40094,510,142,142,0
247732,511,140,140,0
249789,512,139,108,31
218940,513,139,139,0
249777,514,138,107,31
209682,515,138,138,0
220515,516,138,109,29
215310,517,137,116,21
246375,518,136,136,0
215286,519,136,88,48
264993,520,136,136,0
264994,521,136,136,0
152329,522,136,68,68
151807,523,136,136,0
151808,524,136,136,0
247932,525,135,55,80
198902,526,134,134,0
218244,527,134,134,0
33991,528,134,134,0
209689,529,134,134,0
247153,530,133,133,0
247154,531,133,133,0
247155,532,133,133,0
247156,533,133,133,0
247157,534,133,133,0
246321,535,133,133,0
246322,536,133,133,0
246323,537,133,133,0
246324,538,133,133,0
246325,539,133,133,0
246319,540,133,133,0
246320,541,133,133,0
246374,542,133,133,0
246793,543,133,133,0
246794,544,133,133,0
246795,545,133,133,0
246796,546,133,133,0
246797,547,133,133,0
246798,548,133,133,0
246799,549,133,133,0
246800,550,133,133,0
246801,551,133,133,0
246802,552,133,133,0
246803,553,133,133,0
246804,554,133,133,0
246805,555,133,133,0
246806,556,133,133,0
246807,557,133,133,0
246809,558,133,133,0
246810,559,133,133,0
246811,560,133,133,0
246812,561,133,133,0
246813,562,133,133,0
246814,563,133,133,0
246815,564,133,133,0
246816,565,133,133,0
246817,566,133,133,0
246818,567,133,133,0
246819,568,133,133,0
246820,569,133,133,0
246821,570,133,133,0
246822,571,133,133,0
246823,572,133,133,0
246824,573,133,133,0
246786,574,133,133,0
246825,575,133,133,0
246826,576,133,133,0
246827,577,133,133,0
246828,578,133,133,0
246829,579,133,133,0
246830,580,133,133,0
247147,581,133,133,0
247148,582,133,133,0
247149,583,133,133,0
247150,584,133,133,0
247151,585,133,133,0
247152,586,133,133,0
246831,587,133,133,0
246832,588,133,133,0
246833,589,133,133,0
246834,590,133,133,0
246835,591,133,133,0
246836,592,133,133,0
246837,593,133,133,0
246838,594,133,133,0
246839,595,133,133,0
246840,596,133,133,0
