in,per_rank,accesses,reads,writes
0,1,16395,8169,8226
8,1,8816,4426,4390
16,1,5940,2982,2958
24,1,4633,2315,2318
32,1,3843,1919,1924
40,1,3148,1598,1550
48,1,2886,1434,1452
56,1,2626,1287,1339
64,1,2271,1171,1100
72,1,1991,985,1006
80,1,1903,962,941
88,1,1785,891,894
96,1,1657,828,829
104,1,1451,704,747
112,1,1390,686,704
120,1,1289,634,655
128,1,1257,631,626
136,1,1214,619,595
144,1,1123,554,569
152,1,1094,547,547
160,1,1045,519,526
184,1,1010,491,519
168,1,997,523,474
176,1,957,478,479
192,1,898,486,412
200,1,878,433,445
208,1,843,433,410
216,1,822,429,393
248,1,784,391,393
232,1,763,394,369
224,1,747,404,343
240,1,733,347,386
264,1,667,333,334
256,1,665,320,345
272,1,652,320,332
288,1,642,336,306
304,1,614,314,300
280,1,608,301,307
296,1,608,294,314
312,1,579,276,303
320,1,564,270,294
328,1,538,264,274
336,1,535,278,257
360,1,525,260,265
352,1,508,280,228
384,1,506,262,244
344,1,501,264,237
368,1,495,246,249
408,1,482,235,247
392,1,482,241,241
376,1,478,225,253
416,1,474,241,233
400,1,460,230,230
424,1,453,236,217
432,1,452,229,223
456,1,434,209,225
448,1,431,230,201
472,1,428,233,195
440,1,425,217,208
480,1,405,208,197
464,1,393,193,200
496,1,393,185,208
512,1,388,172,216
488,1,386,196,190
568,1,377,197,180
552,1,376,185,191
560,1,374,194,180
520,1,370,183,187
504,1,370,194,176
536,1,365,184,181
528,1,362,183,179
544,1,349,161,188
584,1,341,162,179
608,1,339,176,163
640,1,338,157,181
576,1,335,164,171
592,1,333,173,160
656,1,331,181,150
736,1,317,138,179
600,1,313,149,164
632,1,312,144,168
680,1,311,151,160
616,1,309,155,154
624,1,299,148,151
720,1,294,148,146
688,1,292,140,152
672,1,290,152,138
704,1,289,157,132
752,1,287,146,141
712,1,283,138,145
768,1,280,152,128
664,1,280,143,137
728,1,275,140,135
648,1,275,147,128
808,1,274,138,136
840,1,274,142,132
744,1,273,147,126
760,1,268,130,138
696,1,268,126,142
776,1,265,138,127
816,1,265,131,134
824,1,264,146,118
784,1,258,122,136
944,1,257,120,137
848,1,253,125,128
920,1,251,117,134
792,1,250,114,136
904,1,243,132,111
856,1,243,117,126
864,1,240,118,122
896,1,240,124,116
800,1,238,122,116
888,1,226,118,108
880,1,226,124,102
912,1,226,121,105
928,1,222,123,99
832,1,222,112,110
1144,1,221,113,108
1064,1,221,97,124
1032,1,221,119,102
976,1,219,120,99
984,1,218,102,116
936,1,218,105,113
1104,1,218,102,116
1040,1,214,112,102
872,1,214,110,104
960,1,213,117,96
1160,1,212,106,106
992,1,212,106,106
1072,1,212,99,113
1080,1,211,101,110
1184,1,210,107,103
952,1,209,104,105
1024,1,209,98,111
1016,1,209,95,114
968,1,208,119,89
1192,1,207,97,110
1136,1,207,115,92
1000,1,205,109,96
1008,1,203,93,110
1152,1,201,99,102
1088,1,200,107,93
1128,1,200,100,100
1208,1,199,94,105
1048,1,199,107,92
1168,1,197,96,101
1120,1,191,95,96
1200,1,189,92,97
1264,1,186,92,94
1232,1,186,90,96
1328,1,183,100,83
1112,1,182,93,89
1224,1,182,92,90
1096,1,182,92,90
1056,1,177,92,85
1440,1,175,97,78
1288,1,173,78,95
1272,1,170,95,75
1368,1,170,93,77
1360,1,169,77,92
1472,1,165,96,69
1456,1,165,82,83
1384,1,165,87,78
1176,1,164,75,89
1352,1,164,78,86
1280,1,162,80,82
1344,1,162,89,73
1320,1,161,77,84
1416,1,161,78,83
1304,1,161,91,70
1312,1,159,77,82
1256,1,159,81,78
1400,1,158,75,83
1296,1,158,87,71
1216,1,155,71,84
1528,1,153,77,76
1392,1,153,79,74
1424,1,153,78,75
1248,1,153,71,82
1512,1,152,79,73
1240,1,152,80,72
1768,1,152,83,69
1568,1,151,78,73
1336,1,151,67,84
1520,1,150,88,62
1432,1,149,80,69
1536,1,148,67,81
1600,1,148,81,67
1552,1,148,72,76
1792,1,148,66,82
1376,1,146,73,73
1480,1,146,69,77
1464,1,145,81,64
1448,1,144,72,72
1408,1,144,79,65
1504,1,143,67,76
1608,1,142,71,71
1680,1,142,73,69
1784,1,142,79,63
1704,1,142,63,79
1720,1,140,66,74
1760,1,140,73,67
1632,1,140,78,62
1736,1,140,73,67
1776,1,139,67,72
1856,1,139,75,64
1880,1,139,69,70
1488,1,139,69,70
1496,1,139,66,73
1712,1,137,66,71
1648,1,136,79,57
1672,1,136,63,73
1752,1,136,76,60
1696,1,135,75,60
1944,1,134,65,69
1544,1,134,74,60
2064,1,133,71,62
1832,1,133,71,62
1616,1,132,62,70
1584,1,131,64,67
1592,1,130,71,59
1640,1,130,69,61
1744,1,129,67,62
1664,1,129,63,66
1976,1,127,63,64
1904,1,126,59,67
1848,1,125,64,61
1560,1,124,52,72
1888,1,124,62,62
1864,1,124,67,57
2088,1,124,65,59
1688,1,123,53,70
1816,1,123,67,56
2136,1,123,65,58
1896,1,123,71,52
2280,1,122,65,57
2120,1,122,56,66
1576,1,121,70,51
1912,1,121,57,64
1800,1,119,61,58
1728,1,119,63,56
2072,1,119,69,50
2192,1,119,63,56
1872,1,119,70,49
1920,1,118,60,58
2112,1,118,57,61
2488,1,117,63,54
1928,1,117,57,60
2096,1,116,56,60
1952,1,116,65,51
1656,1,116,67,49
2160,1,115,51,64
1624,1,115,61,54
2408,1,115,56,59
2032,1,115,48,67
2272,1,115,56,59
2256,1,115,61,54
2448,1,114,46,68
2040,1,114,66,48
1824,1,114,58,56
2080,1,114,50,64
1840,1,113,63,50
1984,1,113,54,59
2152,1,113,53,60
1992,1,111,49,62
2232,1,111,60,51
2368,1,110,56,54
2024,1,109,54,55
2216,1,109,61,48
1968,1,109,64,45
2176,1,108,54,54
2288,1,108,49,59
2000,1,108,59,49
2224,1,108,49,59
2016,1,107,55,52
2312,1,107,51,56
2008,1,106,49,57
2048,1,106,49,57
1936,1,106,47,59
2104,1,106,58,48
2896,1,106,42,64
2208,1,106,64,42
2384,1,106,59,47
1960,1,105,49,56
2560,1,105,47,58
2168,1,105,52,53
2240,1,105,51,54
2784,1,104,54,50
1808,1,104,55,49
2512,1,103,59,44
2144,1,103,60,43
2632,1,102,54,48
2336,1,102,55,47
2432,1,101,47,54
2056,1,100,54,46
2392,1,100,44,56
2296,1,99,46,53
2752,1,99,43,56
2976,1,99,47,52
2400,1,99,52,47
2744,1,99,54,45
2376,1,98,66,32
2856,1,98,60,38
2704,1,98,48,50
2128,1,98,48,50
2416,1,98,49,49
2480,1,97,53,44
3224,1,97,44,53
3384,1,97,37,60
2248,1,97,47,50
2200,1,97,46,51
2536,1,96,56,40
2304,1,96,50,46
2664,1,96,48,48
2184,1,96,44,52
2616,1,95,49,46
2672,1,94,48,46
2912,1,94,37,57
2736,1,94,51,43
2800,1,94,51,43
3072,1,93,43,50
2920,1,92,43,49
2936,1,92,46,46
3040,1,92,41,51
2568,1,92,46,46
2424,1,92,43,49
2456,1,92,47,45
2576,1,92,50,42
2504,1,91,45,46
2584,1,91,43,48
2328,1,91,46,45
2544,1,90,48,42
2760,1,90,43,47
2640,1,90,43,47
2352,1,89,45,44
2688,1,89,49,40
2904,1,89,46,43
2768,1,89,51,38
2808,1,89,52,37
2960,1,88,49,39
2320,1,88,47,41
2600,1,88,44,44
2888,1,88,46,42
3000,1,88,42,46
2344,1,87,53,34
3080,1,87,53,34
2816,1,87,46,41
2360,1,86,36,50
2656,1,86,49,37
2720,1,85,38,47
2520,1,85,39,46
3120,1,85,43,42
3704,1,85,41,44
2696,1,85,43,42
2264,1,84,41,43
2840,1,84,35,49
3208,1,84,44,40
2832,1,84,43,41
