in,rank,accesses,reads,writes
0,0,16395,8169,8226
8,1,8816,4426,4390
16,2,5940,2982,2958
24,3,4633,2315,2318
32,4,3843,1919,1924
40,5,3148,1598,1550
48,6,2886,1434,1452
56,7,2626,1287,1339
64,8,2271,1171,1100
72,9,1991,985,1006
80,10,1903,962,941
88,11,1785,891,894
96,12,1657,828,829
104,13,1451,704,747
112,14,1390,686,704
120,15,1289,634,655
128,16,1257,631,626
136,17,1214,619,595
144,18,1123,554,569
152,19,1094,547,547
160,20,1045,519,526
184,21,1010,491,519
168,22,997,523,474
176,23,957,478,479
192,24,898,486,412
200,25,878,433,445
208,26,843,433,410
216,27,822,429,393
248,28,784,391,393
232,29,763,394,369
224,30,747,404,343
240,31,733,347,386
264,32,667,333,334
256,33,665,320,345
272,34,652,320,332
288,35,642,336,306
304,36,614,314,300
280,37,608,301,307
296,38,608,294,314
312,39,579,276,303
320,40,564,270,294
328,41,538,264,274
336,42,535,278,257
360,43,525,260,265
352,44,508,280,228
384,45,506,262,244
344,46,501,264,237
368,47,495,246,249
408,48,482,235,247
392,49,482,241,241
376,50,478,225,253
416,51,474,241,233
400,52,460,230,230
424,53,453,236,217
432,54,452,229,223
456,55,434,209,225
448,56,431,230,201
472,57,428,233,195
440,58,425,217,208
480,59,405,208,197
464,60,393,193,200
496,61,393,185,208
512,62,388,172,216
488,63,386,196,190
568,64,377,197,180
552,65,376,185,191
560,66,374,194,180
520,67,370,183,187
504,68,370,194,176
536,69,365,184,181
528,70,362,183,179
544,71,349,161,188
584,72,341,162,179
608,73,339,176,163
640,74,338,157,181
576,75,335,164,171
592,76,333,173,160
656,77,331,181,150
736,78,317,138,179
600,79,313,149,164
632,80,312,144,168
680,81,311,151,160
616,82,309,155,154
624,83,299,148,151
720,84,294,148,146
688,85,292,140,152
672,86,290,152,138
704,87,289,157,132
752,88,287,146,141
712,89,283,138,145
768,90,280,152,128
664,91,280,143,137
728,92,275,140,135
648,93,275,147,128
808,94,274,138,136
840,95,274,142,132
744,96,273,147,126
760,97,268,130,138
696,98,268,126,142
776,99,265,138,127
816,100,265,131,134
824,101,264,146,118
784,102,258,122,136
944,103,257,120,137
848,104,253,125,128
920,105,251,117,134
792,106,250,114,136
904,107,243,132,111
856,108,243,117,126
864,109,240,118,122
896,110,240,124,116
800,111,238,122,116
888,112,226,118,108
880,113,226,124,102
912,114,226,121,105
928,115,222,123,99
832,116,222,112,110
1144,117,221,113,108
1064,118,221,97,124
1032,119,221,119,102
976,120,219,120,99
984,121,218,102,116
936,122,218,105,113
1104,123,218,102,116
1040,124,214,112,102
872,125,214,110,104
960,126,213,117,96
1160,127,212,106,106
992,128,212,106,106
1072,129,212,99,113
1080,130,211,101,110
1184,131,210,107,103
952,132,209,104,105
1024,133,209,98,111
1016,134,209,95,114
968,135,208,119,89
1192,136,207,97,110
1136,137,207,115,92
1000,138,205,109,96
1008,139,203,93,110
1152,140,201,99,102
1088,141,200,107,93
1128,142,200,100,100
1208,143,199,94,105
1048,144,199,107,92
1168,145,197,96,101
1120,146,191,95,96
1200,147,189,92,97
1264,148,186,92,94
1232,149,186,90,96
1328,150,183,100,83
1112,151,182,93,89
1224,152,182,92,90
1096,153,182,92,90
1056,154,177,92,85
1440,155,175,97,78
1288,156,173,78,95
1272,157,170,95,75
1368,158,170,93,77
1360,159,169,77,92
1472,160,165,96,69
1456,161,165,82,83
1384,162,165,87,78
1176,163,164,75,89
1352,164,164,78,86
1280,165,162,80,82
1344,166,162,89,73
1320,167,161,77,84
1416,168,161,78,83
1304,169,161,91,70
1312,170,159,77,82
1256,171,159,81,78
1400,172,158,75,83
1296,173,158,87,71
1216,174,155,71,84
1528,175,153,77,76
1392,176,153,79,74
1424,177,153,78,75
1248,178,153,71,82
1512,179,152,79,73
1240,180,152,80,72
1768,181,152,83,69
1568,182,151,78,73
1336,183,151,67,84
1520,184,150,88,62
1432,185,149,80,69
1536,186,148,67,81
1600,187,148,81,67
1552,188,148,72,76
1792,189,148,66,82
1376,190,146,73,73
1480,191,146,69,77
1464,192,145,81,64
1448,193,144,72,72
1408,194,144,79,65
1504,195,143,67,76
1608,196,142,71,71
1680,197,142,73,69
1784,198,142,79,63
1704,199,142,63,79
1720,200,140,66,74
1760,201,140,73,67
1632,202,140,78,62
1736,203,140,73,67
1776,204,139,67,72
1856,205,139,75,64
1880,206,139,69,70
1488,207,139,69,70
1496,208,139,66,73
1712,209,137,66,71
1648,210,136,79,57
1672,211,136,63,73
1752,212,136,76,60
1696,213,135,75,60
1944,214,134,65,69
1544,215,134,74,60
2064,216,133,71,62
1832,217,133,71,62
1616,218,132,62,70
1584,219,131,64,67
1592,220,130,71,59
1640,221,130,69,61
1744,222,129,67,62
1664,223,129,63,66
1976,224,127,63,64
1904,225,126,59,67
1848,226,125,64,61
1560,227,124,52,72
1888,228,124,62,62
1864,229,124,67,57
2088,230,124,65,59
1688,231,123,53,70
1816,232,123,67,56
2136,233,123,65,58
1896,234,123,71,52
2280,235,122,65,57
2120,236,122,56,66
1576,237,121,70,51
1912,238,121,57,64
1800,239,119,61,58
1728,240,119,63,56
2072,241,119,69,50
2192,242,119,63,56
1872,243,119,70,49
1920,244,118,60,58
2112,245,118,57,61
2488,246,117,63,54
1928,247,117,57,60
2096,248,116,56,60
1952,249,116,65,51
1656,250,116,67,49
2160,251,115,51,64
1624,252,115,61,54
2408,253,115,56,59
2032,254,115,48,67
2272,255,115,56,59
2256,256,115,61,54
2448,257,114,46,68
2040,258,114,66,48
1824,259,114,58,56
2080,260,114,50,64
1840,261,113,63,50
1984,262,113,54,59
2152,263,113,53,60
1992,264,111,49,62
2232,265,111,60,51
2368,266,110,56,54
2024,267,109,54,55
2216,268,109,61,48
1968,269,109,64,45
2176,270,108,54,54
2288,271,108,49,59
2000,272,108,59,49
2224,273,108,49,59
2016,274,107,55,52
2312,275,107,51,56
2008,276,106,49,57
2048,277,106,49,57
1936,278,106,47,59
2104,279,106,58,48
2896,280,106,42,64
2208,281,106,64,42
2384,282,106,59,47
1960,283,105,49,56
2560,284,105,47,58
2168,285,105,52,53
2240,286,105,51,54
2784,287,104,54,50
1808,288,104,55,49
2512,289,103,59,44
2144,290,103,60,43
2632,291,102,54,48
2336,292,102,55,47
2432,293,101,47,54
2056,294,100,54,46
2392,295,100,44,56
2296,296,99,46,53
2752,297,99,43,56
2976,298,99,47,52
2400,299,99,52,47
2744,300,99,54,45
2376,301,98,66,32
2856,302,98,60,38
2704,303,98,48,50
2128,304,98,48,50
2416,305,98,49,49
2480,306,97,53,44
3224,307,97,44,53
3384,308,97,37,60
2248,309,97,47,50
2200,310,97,46,51
2536,311,96,56,40
2304,312,96,50,46
2664,313,96,48,48
2184,314,96,44,52
2616,315,95,49,46
2672,316,94,48,46
2912,317,94,37,57
2736,318,94,51,43
2800,319,94,51,43
3072,320,93,43,50
2920,321,92,43,49
