IRG,accesses,reads,writes
1,14232,11712,2392
2,13774,11435,3725
3,9573,7583,1814
4,9385,8507,1345
5,7011,5842,1123
6,5595,4832,952
7,4588,3754,817
8,4098,3541,855
9,3505,2934,783
10,3054,2506,635
11,2681,2163,565
12,2554,2144,565
13,2293,1729,433
14,2024,1592,442
15,2176,1811,405
16,2337,2030,438
17,2239,1955,374
18,2177,1979,390
19,2004,1711,333
20,1876,1671,297
21,1743,1663,268
22,2198,2221,256
23,2163,1945,273
24,2019,1763,290
25,1868,1709,224
26,1975,2024,251
27,1907,1620,265
28,1784,1712,223
29,1507,1495,217
30,1617,1485,213
31,1554,1566,228
32,1600,1521,197
33,1541,1318,191
34,1417,1609,157
35,1545,1382,142
36,1391,1409,122
37,1481,1412,156
38,1321,1226,146
39,1255,1290,151
40,1427,1368,130
41,1289,1455,131
42,1398,1173,109
43,1369,1398,129
44,1316,1103,100
45,1386,1267,98
46,1330,1190,96
47,1279,1270,76
48,1109,1080,94
49,1219,1034,78
50,1066,1091,92
51,1198,1207,97
52,1127,1007,79
53,1020,1066,82
54,1128,1062,87
55,1084,1059,92
56,1147,1008,66
57,1093,966,56
58,958,962,64
59,1075,798,54
60,1068,1069,88
61,938,914,69
62,959,912,78
63,879,952,56
64,868,817,60
65,962,941,65
66,787,984,52
67,1072,713,55
68,878,777,55
69,905,910,77
70,860,908,46
71,942,824,62
72,739,768,54
73,883,853,35
74,912,898,50
75,807,805,48
76,740,829,48
77,839,746,36
78,872,805,56
79,784,699,55
80,841,683,35
81,899,744,56
82,823,755,38
83,794,641,38
84,767,772,59
85,851,693,35
86,755,678,50
87,861,691,47
88,640,592,50
89,737,588,32
90,732,581,57
91,580,583,50
92,654,618,37
93,711,623,26
94,597,670,39
95,741,553,36
96,617,569,38
97,674,613,48
98,698,568,41
99,568,635,38
100,620,563,33
101,635,532,38
102,449,621,29
103,563,584,50
104,658,563,32
105,564,446,36
106,645,473,44
107,583,577,41
108,594,457,39
109,517,538,36
110,481,471,34
111,586,631,44
112,554,536,39
113,554,550,22
114,602,469,18
115,620,480,32
116,487,470,40
117,434,530,36
118,685,565,29
119,577,555,30
120,502,556,34
121,613,639,21
122,650,591,25
123,531,490,25
124,595,533,24
125,546,508,26
126,518,508,29
127,585,470,26
128,525,558,32
129,463,477,32
130,435,500,25
131,485,459,26
132,525,588,26
133,521,467,33
134,426,464,21
135,553,390,31
136,487,390,26
137,485,378,24
138,478,477,26
139,418,431,30
140,536,420,34
141,421,406,31
142,498,495,39
143,455,346,24
144,468,390,23
145,396,453,23
146,428,377,35
147,450,347,16
148,404,351,19
149,399,309,22
150,400,458,21
151,379,385,20
152,463,399,22
153,488,389,24
154,476,424,19
155,424,426,29
156,393,297,25
157,427,375,24
158,428,437,20
159,377,405,19
160,375,250,21
161,390,360,30
162,417,363,18
163,381,343,24
164,321,310,25
165,344,373,17
166,452,319,16
167,372,305,22
168,411,329,32
169,293,364,7
170,359,285,26
171,396,301,22
172,334,287,21
173,366,254,20
174,355,331,22
175,399,337,17
176,308,330,22
177,353,297,17
178,383,318,13
179,379,327,18
180,299,290,21
181,413,321,23
182,370,336,7
183,267,286,24
184,335,247,21
185,333,291,12
186,358,300,23
187,306,291,20
188,399,316,19
189,339,276,31
190,371,270,20
191,244,212,18
192,299,374,24
193,292,251,15
194,327,326,18
195,310,256,21
196,281,319,15
197,271,227,17
198,420,361,8
199,390,282,18
200,265,402,18
201,332,286,25
202,255,284,15
203,290,227,21
204,406,344,23
205,356,308,14
206,281,343,14
207,279,254,25
208,230,245,22
209,251,285,9
210,275,263,15
211,291,255,18
212,311,279,14
213,210,246,12
214,348,254,11
215,321,342,16
216,309,252,16
217,280,205,11
218,256,316,19
219,282,233,24
220,208,320,17
221,240,223,24
222,335,211,12
223,275,219,9
224,206,195,10
225,312,209,9
226,305,276,16
227,247,278,14
228,310,191,8
229,277,248,17
230,222,256,8
231,279,262,10
232,238,234,12
233,219,248,23
234,248,220,11
235,277,251,10
236,203,269,15
237,224,164,14
238,197,186,14
239,232,240,22
240,266,208,26
241,272,302,13
242,194,234,12
243,228,215,16
244,258,243,17
245,210,301,14
246,290,273,12
247,230,221,14
248,230,237,7
249,265,202,21
250,226,217,13
251,234,251,13
252,230,202,11
253,221,247,13
254,266,209,10
255,282,248,18
256,280,214,19
257,198,187,17
258,193,263,11
259,328,200,21
260,271,193,10
261,259,165,10
262,283,169,14
263,241,207,9
264,181,152,7
265,261,257,8
266,211,194,13
267,203,177,12
268,175,240,13
269,222,242,12
270,217,198,18
271,202,237,16
272,213,220,11
273,247,176,14
274,203,144,13
275,263,164,14
276,231,199,13
277,236,209,13
278,248,224,16
279,201,305,12
280,246,192,15
281,204,210,9
282,185,188,9
283,214,185,7
284,187,172,12
285,202,209,12
286,234,145,10
287,161,188,11
288,158,186,7
289,175,143,13
290,232,158,12
291,253,182,16
292,197,151,11
293,186,198,8
294,183,229,13
295,235,268,13
296,223,171,15
297,167,204,6
298,167,219,14
299,175,166,8
300,221,191,7
301,180,148,10
302,200,180,13
303,199,165,7
304,191,161,15
305,215,190,13
306,139,234,12
307,164,187,7
308,181,162,13
309,132,112,10
310,213,150,5
311,165,191,15
312,199,148,12
313,212,165,10
314,153,178,17
315,195,125,15
316,183,193,12
317,222,256,11
318,175,176,8
319,145,143,6
320,173,152,6
321,180,154,8
322,202,140,10
323,225,174,17
324,166,129,8
325,178,151,10
326,172,131,10
327,151,162,14
328,220,124,14
329,178,143,13
330,248,282,8
331,134,168,10
332,133,116,9
333,195,185,7
334,202,137,8
335,149,116,8
336,200,134,8
337,236,156,15
338,255,154,10
339,168,139,8
340,149,141,8
341,139,164,15
342,145,143,10
343,129,187,5
344,148,158,8
345,174,139,5
346,131,131,14
347,146,192,6
348,174,170,6
349,199,180,6
350,270,119,9
351,160,147,9
352,131,98,8
353,163,93,8
354,152,147,10
355,109,177,11
356,155,154,4
357,199,156,5
358,134,132,6
359,135,94,7
360,129,145,9
361,155,136,7
