IRG,accesses,reads,writes
1,2698,911,2381
2,4900,181,3646
3,1347,406,837
4,4267,205,3055
5,1086,297,501
6,2170,345,1342
7,1142,472,359
8,1287,402,319
9,1303,825,449
10,1101,496,841
11,1083,663,621
12,1302,754,276
13,1518,878,136
14,1197,513,245
15,9443,6579,154
16,42940,25786,72
17,5441,4339,43
18,7624,5390,53
19,3941,3441,48
20,3089,2569,42
21,2509,1982,30
22,1142,727,25
23,930,473,16
24,559,214,28
25,534,178,25
26,520,156,39
27,250,68,29
28,297,48,16
29,309,52,24
30,256,99,24
31,153,35,37
32,539,21,25
33,134,38,26
34,137,29,59
35,137,28,32
36,148,23,30
37,98,20,19
38,123,15,24
39,48,27,21
40,71,23,44
41,54,36,33
42,73,36,139
43,70,29,76
44,57,28,33
45,59,43,10
46,39,18,40
47,39,56,23
48,65,32,22
49,59,62,4
50,74,35,4
51,33,84,3
52,49,23,2
53,26,85,0
54,61,34,1
55,47,38,1
56,63,22,2
57,61,56,2
58,71,48,2
59,35,40,0
60,65,54,2
61,28,48,1
62,57,72,3
63,52,66,2
64,49,122,3
65,41,111,4
66,47,178,0
67,42,100,4
68,53,274,0
69,39,138,1
70,80,234,3
71,44,170,2
72,39,306,0
73,38,143,0
74,62,284,0
75,49,120,1
76,69,174,1
77,36,60,1
78,49,120,4
79,68,76,5
80,48,38,0
81,65,22,0
82,86,24,0
83,88,6,1
84,64,10,0
85,73,8,1
86,59,3,1
87,92,12,1
88,74,5,1
89,87,4,4
90,85,4,1
91,103,2,0
92,81,2,0
93,137,0,0
94,127,0,1
95,131,0,0
96,150,0,0
97,165,0,0
98,195,0,0
99,164,0,0
100,236,0,1
101,186,0,0
102,258,0,0
103,203,0,0
104,294,0,0
105,183,0,0
106,342,0,0
107,189,0,0
108,292,0,0
109,140,0,4
110,247,0,0
111,149,0,0
112,278,0,0
113,93,0,2
114,193,0,0
115,61,0,0
116,107,0,0
117,76,0,0
118,90,0,2
119,61,1,0
120,60,1,2
121,54,1,2
122,73,0,2
123,62,0,2
124,55,0,0
125,44,1,0
126,66,0,0
127,35,0,0
128,53,0,0
129,53,0,0
130,52,0,0
131,53,0,0
132,50,1,0
133,51,1,0
134,47,0,0
135,39,0,4
136,43,0,2
137,26,0,0
138,26,0,2
139,35,0,2
140,46,0,0
141,40,0,0
142,26,0,0
143,25,0,2
144,20,0,0
145,12,0,0
146,36,0,0
147,18,0,2
148,24,0,0
149,32,0,0
150,15,1,0
151,16,0,0
152,20,0,0
153,8,0,2
154,25,0,0
155,8,0,1
156,8,0,2
157,16,0,1
158,15,0,2
159,10,1,0
160,8,0,0
161,10,0,0
162,6,0,0
163,4,1,2
164,4,1,1
165,2,0,2
166,6,0,1
167,4,0,0
168,2,0,0
169,6,0,0
170,4,0,0
171,4,0,0
172,2,0,0
173,4,0,0
174,2,0,1
176,2,0,2
177,6,0,0
179,4,0,3
181,6,0,0
182,2,1,0
183,6,0,0
184,2,0,0
185,0,2,0
186,4,0,0
187,4,0,0
190,0,0,1
191,1,0,2
192,0,0,1
193,4,1,0
194,2,0,1
195,0,0,2
199,4,1,0
200,1,0,0
204,2,0,0
205,0,0,2
207,0,1,0
208,2,0,0
209,0,0,2
210,0,0,1
213,0,0,1
214,1,0,0
216,1,0,0
217,2,0,0
219,1,0,0
224,0,1,0
225,1,0,0
226,2,0,0
227,0,0,1
228,1,0,0
234,0,2,2
235,1,0,2
236,0,0,1
237,0,0,4
238,0,0,2
241,0,0,2
243,1,0,0
252,0,0,3
254,0,0,2
256,0,0,4
260,1,0,0
261,1,0,0
266,0,1,0
267,2,0,0
269,2,0,0
270,0,0,2
272,0,0,2
274,0,0,2
276,1,0,0
278,0,0,2
283,1,0,0
284,6,0,0
285,1,0,0
286,2,0,0
287,0,0,2
288,1,0,2
289,2,0,0
293,0,1,0
299,1,1,0
302,2,0,0
303,4,1,0
306,2,0,2
308,0,0,2
310,2,0,2
311,0,0,2
312,0,0,2
314,0,0,2
315,1,0,2
316,0,0,2
317,1,0,0
327,0,1,0
330,1,0,0
335,0,1,0
338,0,1,1
339,2,0,0
342,1,0,0
343,2,0,4
346,0,0,1
349,0,1,0
355,0,1,0
359,1,0,0
360,0,0,3
361,1,0,0
362,1,0,0
363,0,0,2
364,0,1,2
370,1,0,0
372,0,0,2
373,0,1,0
380,0,0,4
381,0,0,6
382,0,1,0
387,1,0,0
388,0,0,2
389,0,0,1
395,0,0,2
397,0,1,2
399,0,0,4
400,0,0,1
402,1,0,0
403,1,1,0
404,0,0,4
407,2,0,0
408,2,0,0
410,2,0,0
412,2,1,0
414,0,0,2
420,0,0,2
421,1,0,0
422,0,0,2
424,0,0,3
427,0,0,1
435,2,0,0
437,0,1,0
439,2,0,0
442,0,0,4
443,1,0,0
444,0,0,2
445,0,1,2
446,0,1,0
447,2,0,2
448,0,2,2
449,0,0,2
450,2,1,0
452,1,0,0
457,0,0,2
458,3,0,0
460,0,0,2
468,0,0,1
471,0,0,2
478,0,0,2
479,0,0,2
480,0,0,6
483,1,0,0
484,0,0,2
488,0,0,2
489,0,1,2
490,1,0,0
493,0,1,0
502,1,0,0
508,1,0,0
512,0,1,0
513,0,1,2
515,2,0,2
516,2,0,0
519,0,1,0
524,0,0,1
530,0,0,4
532,0,0,2
533,0,0,2
534,0,0,5
536,0,0,4
537,0,2,0
538,1,0,2
540,2,0,2
542,1,0,0
544,2,0,0
545,1,0,0
552,1,0,0
555,0,1,4
556,0,1,1
559,2,0,4
560,2,1,0
562,2,0,0
564,2,0,0
566,1,0,0
573,1,0,2
574,0,0,3
577,0,1,0
581,0,0,2
582,1,0,0
583,0,0,2
588,0,0,4
590,0,1,2
591,0,0,2
592,0,1,0
593,0,0,2
596,0,0,2
597,0,1,0
599,0,0,2
602,2,0,1
604,2,0,0
607,0,0,2
608,0,0,1
609,3,0,0
615,2,0,2
618,2,0,0
622,2,0,2
625,0,0,2
628,0,2,0
630,0,0,2
631,0,0,2
636,0,0,2
638,0,0,2
639,0,1,2
640,2,0,0
641,4,1,2
643,1,0,2
646,0,0,6
647,2,0,0
648,2,0,6
649,1,0,0
652,1,0,0
656,1,0,0
657,1,0,0
660,1,0,0
664,0,1,0
665,0,1,0
670,0,1,0
673,1,0,0
677,0,1,2
678,1,0,4
680,0,0,2
683,0,1,0
685,0,0,1
686,0,1,0
692,0,0,1
694,1,0,0
698,0,0,2
699,0,0,3
700,2,0,0
701,0,0,4
702,0,1,0
703,0,0,2
704,2,0,4
707,0,0,2
711,2,0,0
713,2,0,0
719,0,1,0
723,0,0,1
730,2,0,0
732,2,0,0
734,0,1,0
739,1,0,1
741,0,0,4
742,0,0,2
743,0,0,2
745,0,0,2
746,1,0,0
747,0,0,4
748,0,0,2
750,1,0,0
751,0,0,4
752,1,0,2
753,0,1,2
754,0,1,3
756,1,0,0
757,2,0,0
758,0,0,4
759,2,0,2
760,0,1,0
761,0,0,4
762,0,1,0
763,0,0,2
764,0,0,4
766,0,0,2
767,0,0,1
770,0,1,1
773,0,0,4
777,1,0,0
780,1,0,0
781,0,1,0
782,0,0,2
783,0,1,0
784,0,0,2
786,0,0,2
788,0,0,8
790,0,0,2
792,0,0,6
796,0,0,6
797,2,0,0
800,2,0,0
801,0,0,4
802,0,0,5
804,0,0,8
805,1,0,0
807,0,0,4
808,0,0,2
809,1,0,2
810,0,0,2
811,0,0,2
813,4,1,2
814,1,1,4
816,0,0,4
817,0,1,2
818,0,1,0
825,0,0,2
826,0,1,0
829,0,0,6
830,4,0,0
831,0,0,1
832,0,0,4
835,1,0,0
842,1,0,0
843,0,0,4
844,0,0,2
845,0,0,5
847,0,0,4
849,0,0,2
850,0,0,2
852,1,0,0
853,0,1,2
854,2,0,1
855,0,1,2
857,0,0,3
858,0,0,6
861,0,0,2
862,2,1,2
863,0,0,2
864,0,0,6
865,0,1,4
866,0,0,3
868,4,0,0
869,0,1,5
873,0,1,0
874,2,0,1
875,0,0,4
876,0,0,2
877,0,0,3
878,2,0,6
879,0,0,2
880,0,0,4
881,0,1,0
882,0,0,2
884,0,0,1
887,1,0,2
888,2,1,8
889,0,0,2
890,2,0,0
895,0,0,2
897,1,0,2
898,0,0,2
901,0,1,2
903,0,0,4
906,0,0,2
907,0,0,2
910,0,1,0
922,0,0,2
923,0,0,2
924,0,0,2
926,4,0,0
928,0,1,2
929,2,0,0
930,1,1,0
935,0,1,0
936,2,0,0
939,1,0,0
941,0,0,4
943,0,0,2
944,0,1,0
945,0,0,2
946,2,0,0
947,0,1,0
948,3,0,0
952,1,0,0
954,0,0,1
964,0,1,2
970,0,0,2
971,0,1,0
972,0,1,0
975,1,0,4
979,0,0,4
980,1,0,0
981,0,0,4
982,2,0,0
987,0,0,2
988,2,1,2
1000,2,1,2
1001,2,0,0
1002,0,0,2
1007,0,0,2
1009,5,1,0
1012,0,0,1
1014,0,2,0
1017,0,0,1
1022,1,0,0
1027,0,0,4
1028,2,0,0
1030,1,0,2
1031,2,0,0
1037,0,2,0
1040,0,1,0
1041,0,0,4
1043,0,0,2
1044,1,0,0
1045,0,0,2
1050,0,1,0
1052,0,1,0
1054,0,0,4
1058,0,0,1
1065,1,0,0
1067,1,0,0
1070,0,0,1
1074,0,0,4
1075,0,0,1
1076,0,0,4
1082,2,0,1
1083,2,1,0
1084,2,0,0
1085,4,0,0
1086,2,0,0
1088,0,0,2
1089,1,1,2
1090,0,1,0
1094,0,0,2
1096,4,0,2
1098,3,0,0
1100,0,1,0
1105,1,0,0
1106,2,0,0
1107,1,0,0
1108,2,0,0
1109,0,1,0
1110,1,0,1
1111,0,0,1
1112,0,0,1
1114,1,0,0
1117,0,0,2
1118,0,1,0
1119,0,0,2
1121,3,2,0
1127,0,0,4
1128,0,0,1
1129,2,0,0
1130,2,0,1
1131,0,0,1
1133,2,0,0
1136,1,0,0
1143,0,0,2
1144,1,1,0
1145,0,0,2
1146,1,0,0
1147,0,1,2
1149,0,1,2
1150,2,1,0
1151,2,0,0
1155,0,0,3
1156,2,0,2
1158,2,0,0
1160,0,1,0
1165,0,0,1
1168,1,0,0
1171,0,0,1
1173,1,0,0
1180,0,1,0
1185,2,1,0
1188,0,1,1
1193,2,1,0
1197,0,0,2
1198,0,0,6
1203,0,1,0
1210,0,1,0
1212,2,0,0
1214,2,0,4
1216,1,0,0
1217,0,0,1
1219,0,0,1
1220,0,0,1
1222,0,1,0
1227,1,0,0
1228,0,1,0
1232,0,0,1
1235,1,0,0
1238,0,1,0
1240,0,0,4
1241,4,2,0
1243,0,2,0
1247,0,1,2
1248,0,1,2
1249,0,0,1
1250,0,2,0
1252,1,0,0
1255,0,0,2
1256,0,0,2
1260,3,0,0
1261,2,1,0
1263,2,0,0
1265,0,0,2
1266,0,0,2
1267,1,0,0
1268,0,0,1
1274,1,0,0
1275,4,0,0
1277,0,0,2
1278,0,0,4
1282,0,0,2
1288,1,0,0
1294,1,0,0
1295,0,2,0
1297,0,0,4
1298,0,0,1
1299,0,1,0
1300,0,1,4
1311,1,0,0
1318,0,0,2
1320,0,1,1
1322,0,1,0
1325,0,1,4
1326,0,1,0
1331,0,0,2
1336,1,1,0
1338,2,0,0
1346,2,0,4
1347,0,0,2
1348,1,1,2
1349,0,2,0
1350,1,0,0
1351,0,1,0
1352,0,1,0
1353,2,0,0
1354,2,0,0
1355,4,0,0
1362,3,0,0
1366,0,1,0
1368,1,0,0
1370,2,0,0
1373,0,1,0
1378,0,1,0
1379,0,1,0
1380,4,1,0
1381,0,0,2
1384,0,0,2
1389,0,1,0
1393,4,0,0
1395,0,1,0
1399,0,1,0
1400,0,0,4
1401,0,0,4
1403,1,1,0
1407,0,0,1
1410,2,0,0
1412,2,0,0
1413,2,0,0
1415,2,0,0
1418,1,0,0
1430,0,2,0
1431,0,0,2
1432,0,0,4
1433,0,0,2
1435,1,0,0
1436,0,1,0
1437,1,0,0
1439,0,1,0
1440,0,1,0
1444,0,1,0
1447,1,0,0
1450,2,0,0
1451,0,2,0
1452,3,0,0
1453,0,0,2
1454,0,0,2
1457,0,1,0
1458,0,1,2
1460,0,0,2
1461,0,0,2
1465,3,0,0
1467,0,0,2
1468,0,0,4
1470,0,0,4
1473,2,0,0
1476,2,0,0
1480,2,1,1
1483,2,0,0
1484,1,0,0
1486,0,0,2
1488,2,1,0
1490,2,1,0
1492,1,0,0
1493,1,0,0
1495,0,0,2
1496,0,1,2
1497,0,1,0
1505,1,0,0
1506,1,1,0
1508,0,1,0
1510,1,0,0
1512,0,0,2
1513,0,1,0
1514,1,0,0
1524,0,0,4
1525,0,1,0
1526,0,0,4
1528,1,1,0
1532,2,0,0
1534,2,0,0
1536,0,1,0
1538,0,0,1
1539,2,0,0
1542,0,1,2
1543,0,0,2
1544,1,0,0
1546,3,0,0
1552,0,1,2
1553,2,0,2
1555,2,1,0
1561,0,0,4
1562,0,1,0
1564,0,0,2
1566,0,1,2
1567,1,0,1
1568,0,1,0
1569,0,1,1
1570,0,1,0
1573,0,1,2
1574,0,0,2
1581,0,0,4
1582,1,1,1
1583,2,0,1
1586,1,1,3
1587,0,0,6
1588,2,0,0
1589,0,0,3
1593,0,1,2
1594,0,0,2
1595,0,0,4
1596,0,0,1
1598,0,0,2
1601,0,0,4
1602,2,0,0
1603,0,2,0
1604,2,0,0
1606,1,0,0
1610,0,0,2
1611,1,0,0
1612,0,1,2
1613,0,1,0
1616,2,0,0
1617,0,1,0
1620,0,1,0
1621,2,0,0
1624,0,0,5
1626,0,1,4
1631,0,0,2
1632,0,0,2
1635,2,2,0
1636,1,1,0
1638,1,0,0
1639,1,0,0
1642,0,0,1
1647,0,1,0
1648,0,0,12
1652,0,0,1
1653,0,0,1
1654,0,1,0
1656,2,1,0
1657,2,0,4
1661,0,0,2
1662,0,0,2
1663,1,0,0
1664,0,1,2
1665,1,1,0
1666,0,0,7
1667,0,0,3
1670,4,0,2
1671,0,0,3
1672,0,0,9
1673,1,0,0
1674,0,1,0
1675,1,0,4
1677,0,0,4
1678,0,0,1
1679,1,0,0
1680,0,0,4
1681,0,0,2
1682,0,0,2
1683,0,1,4
1685,2,0,1
1686,0,0,8
1687,0,0,4
1689,0,1,3
1690,0,0,4
1691,2,0,1
1692,0,0,5
1694,1,0,2
1696,0,0,2
1697,0,0,2
1698,0,0,2
1699,0,0,4
1700,0,0,3
1701,0,0,7
1702,0,0,2
1703,0,0,4
1704,0,0,8
1706,1,1,0
1707,0,0,4
1708,3,0,0
1709,3,0,0
1713,0,1,0
1715,0,0,4
1717,0,0,4
1718,2,1,0
1719,0,0,4
1721,1,0,2
1722,1,0,0
1723,0,0,4
1724,2,0,0
1726,1,0,2
1727,0,0,6
1728,0,1,0
1731,0,0,4
1732,0,0,2
1733,0,0,6
1734,0,1,2
1738,0,0,4
1740,0,0,4
1742,2,0,5
1744,2,0,4
1745,0,0,8
1747,0,0,4
1748,4,0,0
1750,0,0,6
1752,0,1,0
1753,0,0,2
1754,0,1,0
1755,0,0,4
1756,0,0,4
1757,0,2,4
1758,0,0,6
1759,0,0,2
1760,0,0,2
1762,1,0,2
1763,0,0,4
1765,0,0,4
1766,0,0,4
1768,0,1,0
1770,0,0,4
1771,1,0,0
1773,1,0,2
1775,0,0,2
1777,0,0,2
1779,0,0,4
1781,1,0,6
1782,0,0,4
1783,2,0,0
1784,2,0,0
1786,0,0,4
1788,0,1,0
1789,0,0,4
1790,0,1,0
1791,0,1,8
1792,1,0,0
1793,0,0,8
1795,0,0,2
1797,4,0,0
1798,2,0,4
1799,0,0,2
1800,0,1,2
1801,2,1,6
1802,0,0,4
1803,0,1,2
1804,1,0,0
1805,2,0,0
1807,2,0,2
1809,0,0,10
1810,0,0,4
1811,0,0,6
1812,0,2,4
1813,0,1,4
1814,0,0,4
1815,0,0,8
1816,0,0,2
1818,0,0,8
1819,0,0,14
1820,0,0,1
1821,1,0,4
1822,0,0,6
1823,1,1,2
1824,0,2,0
1826,0,0,4
1828,0,0,2
1830,0,0,2
1831,0,1,4
1832,0,0,4
1836,0,0,4
1838,2,0,2
1839,0,0,2
1840,2,1,0
1841,0,0,4
1842,0,0,6
1843,0,0,4
1844,0,0,2
1846,0,0,2
1848,0,0,2
1849,0,1,0
1850,0,0,2
1853,0,1,2
1854,0,0,2
1855,1,1,0
1856,0,0,2
1857,1,0,4
1858,0,0,2
1860,0,0,4
1863,6,0,2
1865,2,0,4
1868,0,0,2
1869,0,0,2
1871,0,0,2
1873,0,0,4
1874,0,0,4
1875,0,2,0
1876,0,1,0
1877,0,1,0
1878,0,0,4
1879,0,0,8
1881,0,0,6
1882,0,1,6
1883,4,0,2
1884,0,0,6
1886,0,0,2
1888,0,0,2
1890,0,0,6
1893,1,0,1
1895,0,1,0
1896,0,1,0
1897,0,0,2
1899,2,0,0
1903,2,1,2
1904,0,0,6
1905,0,0,4
1906,0,0,2
1907,1,0,0
1908,0,1,2
1911,0,2,0
1913,0,0,4
1914,0,1,2
1915,4,0,1
1916,0,0,4
1918,1,0,0
1919,0,0,1
1920,0,0,5
1921,1,0,0
1922,0,1,6
1923,0,1,0
1924,0,0,2
1926,0,0,4
1927,0,0,2
1928,4,0,2
1932,0,0,2
1933,0,0,2
1935,0,0,2
1936,4,0,4
1937,1,1,2
1938,0,0,8
1939,0,0,2
1944,0,1,4
1946,0,1,0
1947,0,0,4
1948,0,0,2
1949,0,1,2
1954,0,0,4
1956,0,0,2
1958,0,0,8
1959,0,1,0
1960,0,0,4
1962,0,0,4
1963,0,1,2
1964,3,0,4
1966,1,0,0
1967,0,1,0
1968,0,0,2
1969,0,0,4
1970,2,0,6
1972,0,0,4
1976,1,0,0
1978,0,0,6
1979,0,1,0
1982,0,0,2
1983,2,0,0
1984,2,0,7
1987,0,0,6
1989,0,0,4
1990,0,0,2
1991,0,1,0
1992,0,0,2
1995,0,0,4
1997,0,0,4
1998,0,1,0
1999,0,0,4
2000,0,0,2
2002,0,1,2
2003,0,0,2
2005,0,0,2
2007,1,0,0
2010,2,0,0
2012,2,0,0
2017,0,1,2
2019,5,0,0
2020,0,0,4
2021,1,0,2
2022,0,1,0
2023,2,0,4
2025,1,0,0
2026,0,0,1
2027,0,1,0
2030,2,0,0
2032,1,0,0
2036,0,1,8
2037,0,0,5
2038,0,0,2
2039,0,0,6
2041,2,0,0
2042,1,0,0
2044,2,1,4
2045,0,1,1
2046,1,0,6
2049,0,0,2
2050,0,1,0
2053,0,1,1
2055,0,1,2
2056,0,0,4
2057,2,0,8
2058,0,0,2
2059,0,1,0
2061,0,0,4
2062,0,0,4
2063,0,0,4
2065,4,0,0
2069,0,0,4
2071,1,0,0
2073,1,0,0
2074,2,0,2
2075,2,1,0
2079,0,1,2
2080,0,0,2
2085,0,1,0
2086,1,0,2
2087,0,0,4
2089,0,1,0
2090,3,0,0
2092,4,0,0
2093,1,0,0
2094,0,1,0
2096,0,1,0
2098,0,0,4
2099,3,0,0
2100,1,0,0
2102,0,0,1
2103,0,1,0
2104,0,0,4
2107,1,0,0
2109,0,0,4
2111,0,1,2
2112,0,0,6
2113,0,0,2
2115,0,0,2
2118,0,0,6
2119,0,1,2
2123,0,1,1
2124,4,0,0
2126,1,0,2
2127,1,0,4
2134,0,0,2
2135,0,0,6
2136,0,0,6
2137,0,0,4
2138,4,0,4
2140,0,0,2
2141,0,1,2
2142,1,0,0
2143,2,0,0
2144,1,0,0
2145,0,0,2
2147,0,2,0
2149,0,0,2
2150,6,0,0
2151,0,1,0
2154,0,1,2
2157,0,0,4
2158,0,0,4
2159,0,0,2
2162,0,0,3
2163,0,0,2
2164,0,1,0
2165,0,1,0
2168,1,1,0
2169,0,0,2
2171,2,0,0
2172,0,1,0
2173,2,0,0
2175,4,1,0
2177,1,0,0
2182,0,0,2
2183,0,1,2
2184,0,1,0
2188,2,1,2
2190,3,0,3
2191,0,0,2
2192,1,0,1
2193,0,0,3
2200,4,0,0
2201,0,1,0
2202,0,1,0
2203,1,0,3
2204,1,0,3
2211,0,0,1
2213,0,0,1
2214,0,0,1
2215,0,0,2
2217,0,1,2
2223,0,0,4
2227,1,0,0
2228,2,0,0
2229,2,0,0
2230,4,0,0
2231,2,0,0
2235,2,0,0
2237,1,1,0
2238,1,0,0
2239,2,0,0
2242,0,1,0
2244,0,1,0
2246,1,0,0
2247,0,1,0
2250,1,0,0
2251,1,0,0
2252,3,0,0
2255,0,0,2
2256,2,0,2
2257,3,0,0
2260,1,0,0
2262,2,0,0
2263,1,0,0
2265,1,0,0
2266,2,0,0
2269,0,1,0
2270,1,0,2
2271,2,0,2
2272,2,0,0
2274,1,1,0
2275,2,0,0
2276,1,0,0
2277,1,0,2
2278,0,0,2
2279,2,0,0
2280,2,1,2
2282,0,0,2
2283,3,1,0
2284,2,3,0
2285,1,0,0
2286,1,0,0
2298,5,0,0
2301,0,0,2
2302,0,0,2
2305,4,1,0
2309,0,1,1
2311,1,1,0
2313,0,0,1
2315,0,0,1
2316,1,0,0
2317,4,1,0
2320,2,0,0
2321,3,0,0
2324,4,0,0
2325,0,0,2
2327,3,0,0
2328,0,0,2
2330,2,0,0
2331,1,0,0
2333,2,1,0
2335,0,0,4
2337,2,0,0
2342,1,0,0
2344,2,0,2
2345,0,0,2
2346,2,0,0
2347,1,1,0
2349,0,0,2
2350,0,1,2
2352,0,1,0
2358,1,0,0
2363,0,0,4
2365,0,1,0
2368,2,0,0
2372,3,0,0
2374,0,1,0
2376,1,0,0
2377,1,1,2
2379,0,0,2
2381,0,1,0
2382,2,0,0
2385,2,1,0
2386,3,0,0
2387,2,0,4
2389,3,0,0
2390,1,0,0
2392,2,0,0
2395,1,0,1
2396,4,0,0
2399,0,1,0
2403,0,0,2
2404,0,1,4
2405,0,0,2
2406,0,0,1
2409,0,0,2
2411,0,0,1
2413,3,0,0
2414,1,2,1
2415,2,0,0
2421,0,0,1
2425,0,1,0
2427,7,0,0
2428,0,0,4
2430,0,1,0
2431,2,0,0
2433,1,0,2
2435,0,1,0
2437,2,0,0
2438,0,0,2
2443,1,0,0
2446,0,0,4
2448,0,1,0
2452,4,0,0
2455,1,0,0
2456,2,1,0
2458,3,0,0
2466,0,0,2
2467,4,1,2
2470,2,0,2
2471,0,1,2
2472,2,1,0
2473,4,0,0
2475,0,0,2
2476,2,1,0
2478,2,0,0
2479,0,0,2
2481,0,0,4
2485,0,1,0
2488,1,0,0
2491,1,0,0
2494,0,0,4
2496,0,0,2
2497,0,0,2
2503,0,0,1
2508,0,1,0
2511,1,0,1
2513,1,0,0
2517,0,0,6
2519,0,0,2
2520,0,0,4
2523,0,0,2
2525,0,0,4
2526,0,0,1
2531,0,1,0
2533,4,0,0
2534,4,0,1
