IRG,accesses,reads,writes
1,985,492,523
2,956,467,485
3,943,481,472
4,979,468,469
5,910,485,480
6,855,448,447
7,880,434,404
8,838,411,457
9,854,433,432
10,863,424,422
11,761,429,404
12,837,378,400
13,818,375,403
14,722,382,377
15,735,383,354
16,725,332,363
17,697,366,367
18,714,369,395
19,744,343,356
20,685,324,336
21,651,325,335
22,682,315,326
23,613,316,304
24,645,309,306
25,609,337,308
26,596,307,276
27,564,290,320
28,604,316,304
29,582,301,283
30,537,296,271
31,567,278,251
32,538,261,274
33,514,275,241
34,500,272,256
35,503,263,257
36,491,263,256
37,496,260,238
38,470,234,269
39,510,235,234
40,487,214,192
41,446,177,223
42,454,239,223
43,455,206,226
44,435,231,218
45,436,217,229
46,439,207,200
47,407,208,203
48,446,211,210
49,438,206,201
50,371,192,178
51,401,210,194
52,395,179,192
53,410,192,204
54,344,201,201
55,378,185,203
56,340,200,165
57,383,197,185
58,361,212,179
59,330,156,181
60,344,187,165
61,364,183,175
62,316,154,173
63,319,157,166
64,339,172,168
65,313,155,156
66,330,142,152
67,312,156,143
68,328,163,168
69,310,140,160
70,285,158,142
71,276,138,162
72,305,129,153
73,305,145,140
74,307,135,139
75,298,138,131
76,293,158,131
77,258,150,135
78,256,147,133
79,260,139,136
80,257,141,147
81,257,150,130
82,261,151,144
83,273,122,153
84,279,126,136
85,261,144,131
86,243,132,124
87,263,120,124
88,268,130,112
89,271,128,124
90,263,127,111
91,227,118,104
92,238,126,102
93,238,112,109
94,222,116,122
95,243,116,116
96,232,97,108
97,235,126,130
98,209,124,117
99,214,120,94
100,194,93,119
101,227,114,91
102,238,103,88
103,240,112,107
104,256,127,88
105,209,112,96
106,191,97,97
107,215,105,112
108,214,90,99
109,208,94,115
110,200,92,105
111,216,116,102
112,197,86,110
113,202,100,103
114,209,100,99
115,213,95,95
116,160,80,96
117,193,106,101
118,203,91,100
119,193,110,97
120,169,91,86
121,172,104,96
122,173,107,94
123,181,92,81
124,194,99,104
125,185,89,97
126,166,91,97
127,192,74,89
128,185,97,92
129,167,107,75
130,167,92,100
131,185,91,83
132,185,83,102
133,166,91,68
134,154,95,87
135,194,82,69
136,161,83,90
137,174,86,111
138,154,82,81
139,167,56,82
140,167,70,91
141,156,82,91
142,180,75,79
143,157,94,84
144,143,92,74
145,166,76,76
146,147,71,81
147,158,57,68
148,174,89,64
149,145,81,78
150,173,89,81
151,149,72,79
152,179,83,57
153,166,85,100
154,153,92,64
155,157,62,90
156,168,78,82
157,146,75,64
158,153,80,78
159,146,85,66
160,141,59,81
161,147,81,70
162,132,78,79
163,164,69,91
164,150,72,85
165,130,78,52
166,166,80,74
167,154,83,71
168,142,75,70
169,162,80,74
170,147,69,63
171,142,74,72
172,143,70,74
173,128,67,68
174,147,73,76
175,134,70,64
176,99,72,66
177,137,60,74
178,123,57,80
179,126,80,73
180,138,61,66
181,122,64,65
182,125,81,58
183,123,69,73
184,126,50,69
185,132,66,61
186,131,56,55
187,128,70,70
188,139,76,70
189,107,60,57
190,120,55,56
191,122,64,61
192,133,67,59
193,128,79,69
194,117,64,66
195,120,58,74
196,131,58,59
197,103,49,54
198,128,63,61
199,138,60,49
200,111,49,55
201,112,48,64
202,104,60,63
203,120,62,67
204,105,54,59
205,114,56,54
206,123,55,60
207,106,65,65
208,104,51,51
209,107,61,63
210,105,50,48
211,122,51,66
212,111,62,75
213,133,46,63
214,112,61,53
215,106,64,60
216,112,56,56
217,109,65,47
218,102,40,57
219,113,63,51
220,112,53,71
221,114,53,63
222,110,39,49
223,113,58,56
224,98,57,59
225,108,69,53
226,111,41,50
227,92,40,75
228,96,50,62
229,121,49,60
230,126,44,51
231,113,68,37
232,102,68,62
233,103,65,56
234,110,41,53
235,108,65,35
236,119,49,56
237,98,40,55
238,106,45,55
239,89,54,60
240,122,52,49
241,111,63,48
242,88,58,54
243,91,48,40
244,122,52,60
245,93,61,32
246,84,49,51
247,99,47,50
248,108,61,34
249,112,50,41
250,97,56,35
251,83,48,51
